Title,Description,Creator,Date,Source,Format,Type,Subject,Rights,Identifier,ItemType Metadate: Original Format,ItemType Metadate: Physical Dimensions
"Jeanette R. Hawkins School. Craig Colony, Sonyea, N.Y.",,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.04 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0001,postcard; b&w,
Glen Iris Letchworth State Park,No. 35 Glen Iris Letchworth State Park. Hand colored postcard,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0002,postcard; col.,
,verso: Autumn afternoon in Letchworth Park is enjoyed by Geneseo Students,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.37 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0003,photograph; b&w,
Craig Colony.,"Sonyea, N.Y. verso: Craig Colony Sonyea. Hawley School(?)",Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 18.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0004,photograph; b&w,
Wadsworth Library and Methodist Church,"Wadsworth Library and Methodist Church. Geneseo, N.Y.",Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.84 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0005,postcard; b&w,
Wadsworth Library ,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0006,photograph; b&w,
Rex Theater,First National Pictures,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0009,photograph; b&w,
Whitman's Grocery,Whitman's Chocolates and Confections store front window from street. Store front window displays an exhibit. Exhibit: Department of Weights and Measures. The Rexall Store,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0010,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0011,photograph; b&w,
Jack Carr's Restaurant,No ?azi Allowed,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0012,photograph; b&w,
Big Tree Inn,Big Tree Inn winter morning,unknown,1957-02,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0013,photograph; b&w,
Big Tree Inn,Big Tree Inn winter street view,Unknown,1957-02,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0014,photograph; b&w,
Livingston County Historical Museum,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0015,photograph; b&w,
St. Mary's Church and Rectory,"Post card published by Ulmer's Drug Store, Geneseo, N.Y. ",Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.73 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0018,postcard; b&w,
St. Michael's Episcopal Church,"Post card published by Ulmer's Drug Store, Geneseo, N.Y. ",Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 20.96 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0019,postcard; b&w,
St. Mary's Church [check],,R. Smith,1965-02,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.14 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0021,photograph; b&w,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0024,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0025,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.60 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0028,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.05 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0030,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 12.74 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0031,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.70 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0032,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 8.51 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0035,,
,,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 3.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0036,photograph; b&w,
Zahier House,"Front porch of Alpha Kappa Phi Sorority. The Agonian Sorority. verso: Jean Di Martino, Donna Paul, Deane Green",Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 18.12 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0037,photograph; b&w,
,verso: Pete Mapes,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0038,photograph; b&w,
The Brick Tower,Alpha Delta Epsilon sorority house,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 15.72 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0039,photograph; b&w,
,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 15.94 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0040,photograph; b&w,
The Brick Tower,Alpha Delta Epsilon sorority house,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 22.84 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0041,photograph; b&w,
Women's Rooming House,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 29.03 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0042,photograph; b&w,
House,,Unknown,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.83 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0043,photograph; b&w,
