Dublin Core:Title,Dublin Core:Description,Dublin Core:Creator,Dublin Core:Date,Dublin Core:Coverage,Dublin Core:Source,Dublin Core:Format,Dublin Core:Type,Dublin Core:Subject,Dublin Core:Rights,Dublin Core:Identifier,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:URL
"Jeanette R. Hawkins School. Craig Colony, Sonyea, N.Y.",,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 7.04 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0001,postcard; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0001.jpg
Glen Irish Letchworth State Park,No. 35 Glen Iris Letchworth State Park. Hand colored postcard,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 19.67 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0002,postcard; col.,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0002.jpg
,verso: Autumn afternoon in Letchworth Park is enjoyed by Geneseo Students,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.37 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0003,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0003.jpg
Craig Colony,"Sonyea, N.Y. verso: Craig Colony Sonyea. Hawley School(?)",Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 18.47 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0004,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0004.jpg
Wadsworth Library and Methodist Church,"Wadsworth Library and Methodist Church. Geneseo, N.Y.",Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 6.84 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0005,postcard; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0005.jpg
Wadsworth Library ,,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.93 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0006,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0006.jpg
Rex Theater,First National Pictures,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0009,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0009.jpg
Whitman's Grocery,Whitman's Chocolates and Confections store front window from street. Store front window displays an exhibit. Exhibit: Department of Weights and Measures. The Rexall Store,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0010,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0010.jpg
,,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.09 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0011,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0011.jpg
Jack Carr's Restaurant,Hand written sign on window appears to state: “No nazi allowed”,Unknown,,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0012,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0012.jpg
Big Tree Inn,Big Tree Inn winter morning,unknown,1957-02,,"College Archives Photographs, Milne Library, State University of New York at Geneseo","TIFF, 28.85 mb",Still image,,"Please cite as: College Archives, Milne Library, State University of New York at Geneseo. For usage beyond Fair Use, please contact Milne Library.",archphoto0013,photograph; gelatin silver; b&w,,http://www.jack-mulvey-scott.com/TEST/jpegs/archphoto0013.jpg
